NCF4
NR1H4
NOD2
STAT3
IL23R
BPI
ICAM1
FUT2
SLC11A1
IL10
NKX2-3
TNF
IL6
PTPN2
ADIPOQ
TNFSF15
IFNG
GC
GSTT1
MKI67
SELL
PTPN22
MBL2
PRF1
CD40
HLA-DQB1
JAK2
OCLN
FCGR2A
HLA-DPA1
LRRK2
GSTM1
IL21R
ABCB1
UGT1A1
SLC22A5
CLDN1
IRGM
TAGAP
TLR9
ATG16L1
PDLIM5
HLA-DRB1
IL10RA
SMAD3
PPARA
RELA
FN1
MTHFR
PPARG
TCF7
DOK2
NLRP3
GPBAR1
SDF2L1
HGFAC
CIBAR2
IGF1
IL12B
LEP
PTAFR
TYK2
PHOX2B
CCR7
CRP
CCNY
FPR2
TLR4
VTN
ATG4C
DENND1B
DNMT3A
IL2RA
MST1
BACH2
CCL2
FCGR3A
HFE
