IL23R
TNF
IL10
JAK2
STAT3
TNFSF15
NOD2
CFB
FCGR2A
IL1B
LTF
IL1RN
NKX2-3
MST1
HLA-DRB1
BTNL2
IL12B
MPO
ALB
CDH1
SLC26A3
ABCB1
CCL20
IRGM
HNF4A
ICAM1
MMP9
SLC11A1
LAMB1
CASP3
HP
DEFA5
CXCR2
IRF5
PTPN2
CARD9
SPHK1
CCNY
C3
APOA4
ADCY7
ORMDL3
IL7R
RELA
GHRL
GC
GSTM1
GSTT1
PTGER4
SELL
ARPC2
VCAM1
RIPK2
IL18RAP
CCR6
HERC2
ECM1
HLA-DQB1
GNA12
IRF4
PRDM1
CDH3
MTRR
CYP24A1
ICOSLG
IL1R2
CXCR1
BCL6
LSP1
KIF21B
MASP2
GPR65
DAP
DPEP1
IKZF1
PSMG1
