HTT
BDNF
IGF1
PPARGC1A
GRIN2B
IL6
CNTF
NPY
JPH3
HSF1
PRNP
SIRT1
HAP1
CNR1
MAP3K5
ABAT
EIF2AK2
GLUL
TFAM
GDNF
SLC2A3
SLC29A1
MAOA
GRIN2A
GRIK2
OGG1
RCAN1
PRKAA1
ATF5
DIABLO
IL6R
NOG
NRF1
AIFM1
FAAH
MAOB
NPY2R
LOC129929027
LOC109461479
IP6K2
